Bar Code,Product Code,Full Description,VAT Inclusive Price,Manufacturers Product Code
101299,101299,ALUM.RIVETS 3.2mm(D) x 0.8mm (L) AS3208P,19.5,AS3208P
101341,101341,GLUE DEVIL AUTO TAPE 0.8MMX18MMX1M,32,50-TAPE6320
101343, ,New product,0, 
101373,101373,SDP BARREL BOLT 100MM NATURAL,25,MR118
101383,101383,LAZ BRACKET 2 HOLE BASIN MIXER-HORSE SHOE ND025,35,ND025
101527,101527,BLACK PLASTIC NON COMP 2M X 30M,146,BP002
101530,101530,ALUM. RIVET 4.0mm (D) x10mm (L)AS4010P,31,AS4010P
101555,101555,ACCENT GALV U BOLT 6MM X 35MM 23-2478,6.14,23-2478
101580, ,New product,0, 
101586, ,New product,0, 
101621, ,New product,0, 
101642,101642,LASHER BRICK JOINTER SQ LONG 9.5mm W/H,101.2,FG10222
101684,101684,MBS BULLET HINGES 16x100mm (PR),40.45,BRBH16X100
101687,101687,BUSH FOR WINDOW HANDLES BLACK,1,BH002
101690,101690,MIRROR PLATES (2'S),11.39,ES1355
101706,101706,C-097-20 TAP WASHER 20mm (PAIR),6.07,102655
101707,101707,C-098-15 TAP WASHER LP PAIR,13.62,102657
101707,101707,C-098-15 TAP WASHER LP PAIR,13.62,102657
101708,101708,C1 STEEL WINDOW,504.16,WSC1
101710,101710,C11H STEEL WINDOWS,1048,WSC11H
101713,101713,C1H B/BARS STEEL WINDOW,456,WSC1HBB
101715,101715,C1H GLASS SET,33.12,GLASSC1H
101716,101716,C1H L/D B/G STEEL WINDOW,193,WSC1HLDBB
101717,101717,C1H LIGHT DUTY STEEL WINDOWS,155,WSC1HLD
101718,101718,C1H STEEL WINDOW,396,WSC1H
101722,101722,C2 STEEL WINDOW,763.6,WSC2
101723,101723,C22 STEEL WINDOW,844.81,WSC22
101724,101724,C22 STEEL WINDOWS FX7,904.64,WSC22FX7
101725,101725,C22F STEEL WINDOW,1030,WSC22F
101727, ,New product,0, 
101728,101728,C-295F-15 WASHER FOR P/TAP ADAPTOR PAIR,8,102659
101730,101730,C2F STEEL WINDOW,772.82,WSC2F
101731,101731,C2FH STEEL WINDOW,634.8,WSC2FH
101732,101732,C2H B/BARS STEEL WINDOW,654,WSC2HBB
101733,101733,C2H GLASS SET,73.6,GLASSC2H
101734,101734,C2H LIGHT DUTY + BURGLAR BAR STEEL WINDOW,232,WSC2HLDBB
101735,101735,C2H LIGHT DUTY  STEEL WINDOWS,174,WSC2HLD
101736,101736,C2H STEEL WINDOW F7,536,WSC2H
101737, ,New product,0, 
101741,101741,C4 STEEL WINDOW,984.4,WSC4
101743,101743,C4F STEEL WINDOW,920,WSC4F
101744,101744,C4FH STEEL WINDOW,846.4,WSC4FH
101745,101745,C4H STEEL WINDOW,665,WSC4H
101751,101751,C7 STEEL WINDOW,644,WSC7
101757,101757,C-763-15 FLOATVALVE WASHER PAIR,17.73,102665
101761,101761,C7H STEEL WINDOW,726.8,WSC7H
101780, ,New product,0, 
101783,101783,DIVERTOR FOR SL105 COMPLETE(SPRING PUSH TYPE),240.64,SL105CHDIV
101790,101790,BRESCIA ANGLE VALVE CP 1/4 TURN 15 x 20mm,69,BSAV-A
101793, ,New product,0, 
101796,101796,CACHET BACKNUT BR 15mm,21.05,BNUT
101797,101797,CACHET BACKNUT BR 20mm,50.03,BNUT22
101800, ,New product,0, 
101804,101804,BRESCIA BALL-O-STOP CxM 15x20mm WASH/MACHINE LEVER HNDL,60,BSBS15W
101806, ,New product,0, 
101814,101814,CACHET BATH SPOUT LOCAL TYPE PLAIN,300.4,BS20
101820,101820,CACHET BATH SPOUT VICTORIAN TYPE CP,360.27,BS20V
101841, ,New product,0, 
101846, ,New product,0, 
101847, ,New product,0, 
101848,101848,CACHET  BR/CONNECTOR SS 350mm MxF (for mixers),118.5,FBC300MIX
101850,101850,CACHET BR/CONNECTOR SS 400mm MxF (for mixers) EACH,60,FBC400MIX
101879,101879,"CACHET CONVERTER VIC. HEADPART 1/2"" SHOWER TAPS (Pair)",543.63,TUDBASUT
101881,101881,"CACHET CONVERTER VIC. HEADPART 5/8"" SHOWER TAPS (Pair)",623.76,TUDBASHUT
101885,101885,CACHET DEMAND BASIN PILLAR TAP 15mm,522.56,99001DMT
101892,101892,CACHET EXTENSION PIECE 75mm LOCAL TYPE NUT SHAPED 15mm,114.08,TEF1
101893,101893,CACHET EXTENSION PIECE 75mm LOCAL TYPE NUT SHAPED 20mm,212.36,TEF2
101912,101912,CACHET FLOAT VALVE BR SIDE INLET 15mm HEAVY DUTY,147.18,6940-15
101913, ,New product,0, 
101914, ,New product,0, 
101936,101936,CACHET HANDLE : ASPEN CP,67.14,ASHNDL
101940,101940,CACHET HANDLE : TOMMI METAL,88.14,99031TM
101943, ,New product,0, 
101960,101960,CACHET INDICATOR FOR TOMMI / COLONIAL,8.74,99IT
101962,101962,CACHET LEVER BALL VALVE BOSTON 15mm CxC,127.88,5920-15C
101963,101963,CACHET LEVER BALL VALVE BOSTON 15mm FxF,83.87,5920-15
101969, ,New product,0, 
101974,101974,CACHET MINI EXTENSION 15mm CP,31.12,EXT15
101983,101983,"CACHET REDUCING FITTING MxF 1/2"" x 3/4""",37.79,RB2
101986,101986,CACHET RUNNING NIPPLE BR 100 x 15mm,75,DO503
101987,101987,CACHET RUNNING NIPPLE BR 100 x 22mm,94.92,RN10CM22
101988,101988,CACHET RUNNING NIPPLE BR CP with EXT CENTERED HEX NUT 15mm,37.01,RN1
101992,101992,CACHET SHOWER ARM SHORT ANGLED LOCAL TYPE CP,117.78,SARMCT
101993,101993,CACHET SHOWER ARM STANDARD LOCAL TYPE BR CP,115,SARM
101995,101995,CACHET SHOWER ARM STANDARD LOCAL TYPE ZINC CP,115,SARMZ
101996,101996,CACHET SHOWER ELBOW LOCAL TYPE CP + COVER PLATE,116.1,SELB
102002,102002,CACHET SHOWER RAIL ECO-TYPE + HAND SHOWER CP BLISTER,447,SSETECO
102012,102012,CACHET SHOWER ROSE AND ARM IN ONE UPMARKET 3 FUNC.,132.91,SROSEARM
102023,102023,CACHET SHOWER ROSE VICTORIAN 160mm PL CP BLISTER,205.77,SROSEVIC
102026,102026,BRESCIA SHOWER TRAP BRASS SQAURE CP TOP BSSTSQB,827.13,BSSTSQB
102034,102034,"CACHET SPARE WASHER KIT FOR 99060 ""J"" SPOUT",21.56,JLWK
102035, ,New product,0, 
102036,102036,"CACHET SPOUT ""J"" ORIGINAL for 99060 SINK MIXERS",239.55,99060SPOUT
102040, ,New product,0, 
102042,102042,CACHET STOP TAP 15mm CxC BR 300BRS-15,198.72,300BRS-15
102043, ,New product,0, 
102045, ,New product,0, 
102051,102051,CACHET TAP WASHER BAG 15mm (MEDIUM PATTERN) 2PK,5,TW15L
102060,102060,CACHET TOMMI CROSS BASIN PILLAR TAP 15mm,258.51,99001TST
